物料号,物料描述,栓编码,母编码,平垫97编码,平垫95编码,弹垫编码,是否双平,
11140300291,螺栓副_GB/T5783_M10*16_不锈钢,AAD1001502,FAA01002,GBG01002,,GAE01002,1,
11140300499,螺栓副_GB/T5783_M10*20_不锈钢_一母双平一弹,AAD1002002,FAA01002,GBG01002,,GAE01002,2,
11140300037,螺栓副_GB/T5783_M10*20_不锈钢,AAD1002002,FAA01002,GBG01002,,GAE01002,1,
11140300496,螺栓副_GB/T5783_M10*25_不锈钢_一母双平一弹,AAD1002502,FAA01002,GBG01002,,GAE01002,2,
11140300196,螺栓副_GB/T5783_M10*25_不锈钢,AAD1002502,FAA01002,GBG01002,,GAE01002,1,
11140300187,半圆头方颈螺栓副_DIN603_M10*25_不锈钢,TDGG00153,FAA01002,GBG01002,,GAE01002,1,
11140300040,螺栓副_GB/T5783_M10*30_不锈钢,AAD1003002,FAA01002,GBG01002,,GAE01002,1,
11140300332,半圆头方颈螺栓副_DIN603_M10*30_不锈钢,TDGG00154,FAA01002,GBG01002,,GAE01002,1,
AAC1003002_SS,螺栓副_GB/T5783_M10*30_不锈钢_一母双平一弹,AAD1003002,FAA01002,GBG01002,,GAE01002,2,
11140300497,螺栓副_GB/T5783_M10*35_不锈钢_一母双平一弹,AAD1003502,FAA01002,GBG01002,,GAE01002,2,
11140300195,螺栓副_GB/T5783_M10*35_不锈钢,AAD1003502,FAA01002,GBG01002,,GAE01002,1,
11140300188,半圆头方颈螺栓副_DIN603_M10*35_不锈钢,TDGG00155,FAA01002,GBG01002,,GAE01002,1,
11140300431,螺栓副_GB/T5783_M10*40_不锈钢_一母双平一弹,AAD1004002,FAA01002,GBG01002,,GAE01002,2,
11140300042,螺栓副_GB/T5783_M10*40_不锈钢,AAD1004002,FAA01002,GBG01002,,GAE01002,1,
11140300189,半圆头方颈螺栓副_DIN603_M10*40_不锈钢,TDGG00156,FAA01002,GBG01002,,GAE01002,1,
11140300298,螺栓副_GB/T5783_M10*45_不锈钢,AAD1004502,FAA01002,GBG01002,,GAE01002,1,
11140300498,螺栓副_GB/T5783_M12*100_不锈钢_一母双平一弹,AAD1210002,FAA01202,GBG01202,,GAE01202,2,
11140300495,螺栓副_GB/T5783_M12*35_不锈钢_一母双平一弹,AAD1203502,FAA01202,GBG01202,,GAE01202,2,
11140300297,螺栓副_GB/T5783_M12*40_不锈钢,AAD1204002,FAA01202,GBG01202,,GAE01202,1,
11140300432,螺栓副_GB/T5783_M12*45_不锈钢_一母双平一弹,AAD1204502,FAA01202,GBG01202,,GAE01202,2,
11140300049,螺栓副_GB/T5783_M12*45_不锈钢,AAD1204502,FAA01202,GBG01202,,GAE01202,1,
11140300051,螺栓副_GB/T5783_M12*50_不锈钢,AAD1205002,FAA01202,GBG01202,,GAE01202,1,
